Region Code,Region,Group,Country,ISO3,Hazard,Hazard Label,Source,Peak Score,Peak Month,Risk Category,Months in Risk Category,High or Very High Months,July,August,September,UN Subregion,UN Intermediate Region,UN Regional Group
0,Africa,Drought/Wildfire,Sao Tome and Principe,STP,DR,Drought,INFORM risk-score API,0.0,July,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Seychelles,SYC,DR,Drought,INFORM risk-score API,0.0,July,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Sierra Leone,SLE,DR,Drought,INFORM risk-score API,0.0,July,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Nigeria,NGA,FL,Flood,INFORM risk-score API,8.0,August,Very High,2,2,4.3,8.0,8.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Sudan,SDN,FL,Flood,INFORM risk-score API,8.0,August,Very High,1,1,4.3,8.0,4.3,Northern Africa,,Northern Africa
0,Africa,Floods/TC,Chad,TCD,FL,Flood,INFORM risk-score API,7.5,September,Very High,1,2,2.1,6.4,7.5,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Mauritania,MRT,FL,Flood,INFORM risk-score API,7.5,August,Very High,1,2,1.1,7.5,5.4,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Niger,NER,FL,Flood,INFORM risk-score API,7.4,August,Very High,1,2,6.5,7.4,4.6,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,South Sudan,SSD,FL,Flood,INFORM risk-score API,7.1,August,Very High,1,1,2.8,7.1,2.8,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Mali,MLI,FL,Flood,INFORM risk-score API,6.9,August,Very High,1,1,2.5,6.9,1.9,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Liberia,LBR,FL,Flood,INFORM risk-score API,6.2,July,High,1,1,6.2,2.1,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Cameroon,CMR,FL,Flood,INFORM risk-score API,6.0,August,High,1,1,1.7,6.0,1.7,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Central African Republic,CAF,FL,Flood,INFORM risk-score API,5.7,July,High,2,2,5.7,5.7,4.3,Sub-Saharan Africa,Middle Africa,Middle Africa
