Region Code,Region,Group,Country,ISO3,Hazard,Hazard Label,Source,Peak Score,Peak Month,Risk Category,Months in Risk Category,High or Very High Months,November,December,January,UN Subregion,UN Intermediate Region,UN Regional Group
0,Africa,Drought/Wildfire,Comoros,COM,DR,Drought,INFORM risk-score API,0.0,November,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Equatorial Guinea,GNQ,DR,Drought,INFORM risk-score API,0.0,November,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Sao Tome and Principe,STP,DR,Drought,INFORM risk-score API,0.0,November,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Seychelles,SYC,DR,Drought,INFORM risk-score API,0.0,November,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Sierra Leone,SLE,DR,Drought,INFORM risk-score API,0.0,November,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Congo,COG,FL,Flood,INFORM risk-score API,8.6,November,Very High,1,2,8.6,5.7,2.9,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Democratic Republic of Congo,COD,FL,Flood,INFORM risk-score API,7.5,December,Very High,1,1,3.8,7.5,1.9,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Somalia,SOM,FL,Flood,INFORM risk-score API,7.5,November,Very High,1,1,7.5,1.7,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Mozambique,MOZ,FL,Flood,INFORM risk-score API,6.3,January,High,1,1,0.0,2.0,6.3,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Zimbabwe,ZWE,FL,Flood,INFORM risk-score API,6.0,January,High,1,1,0.0,3.6,6.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Malawi,MWI,FL,Flood,INFORM risk-score API,5.3,January,High,1,1,1.6,3.2,5.3,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Namibia,NAM,FL,Flood,INFORM risk-score API,5.2,January,High,1,1,0.0,0.0,5.2,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Floods/TC,"Tanzania, United Republic of",TZA,FL,Flood,INFORM risk-score API,5.0,December,Medium,1,0,0.8,5.0,3.3,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,"Eswatini, Kingdom of",SWZ,FL,Flood,INFORM risk-score API,4.2,December,Medium,2,0,0.0,4.2,4.2,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Floods/TC,Uganda,UGA,FL,Flood,INFORM risk-score API,3.8,November,Medium,1,0,3.8,2.6,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Burundi,BDI,FL,Flood,INFORM risk-score API,3.7,January,Medium,1,0,0.7,1.5,3.7,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Zambia,ZMB,FL,Flood,INFORM risk-score API,3.7,January,Medium,1,0,0.9,1.8,3.7,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Madagascar,MDG,FL,Flood,INFORM risk-score API,3.6,January,Medium,1,0,0.0,0.0,3.6,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Angola,AGO,FL,Flood,INFORM risk-score API,3.2,January,Low,1,0,0.3,1.3,3.2,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Kenya,KEN,FL,Flood,INFORM risk-score API,2.6,December,Low,2,0,2.2,2.6,1.9,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Niger,NER,FL,Flood,INFORM risk-score API,1.9,November,Very Low,3,0,1.9,0.9,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,South Africa,ZAF,FL,Flood,INFORM risk-score API,1.7,November,Very Low,3,0,1.7,1.7,1.7,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Floods/TC,Ethiopia,ETH,FL,Flood,INFORM risk-score API,1.6,November,Very Low,3,0,1.6,0.5,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Central African Republic,CAF,FL,Flood,INFORM risk-score API,1.4,November,Very Low,3,0,1.4,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,South Sudan,SSD,FL,Flood,INFORM risk-score API,1.4,November,Very Low,3,0,1.4,0.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Botswana,BWA,FL,Flood,INFORM risk-score API,1.2,January,Very Low,3,0,0.0,0.0,1.2,Sub-Saharan Africa,Southern Africa,Southern Africa
