Region Code,Region,Group,Country,ISO3,Hazard,Hazard Label,Source,Peak Score,Peak Month,Risk Category,Months in Risk Category,High or Very High Months,April,May,June,UN Subregion,UN Intermediate Region,UN Regional Group
0,Africa,Floods/TC,Liberia,LBR,FL,Flood,INFORM risk-score API,4.1,June,Medium,1,0,0.0,0.0,4.1,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Uganda,UGA,FL,Flood,INFORM risk-score API,3.8,April,Medium,2,0,3.8,3.8,1.3,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Burundi,BDI,FL,Flood,INFORM risk-score API,3.7,April,Medium,2,0,3.7,3.7,0.7,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Nigeria,NGA,FL,Flood,INFORM risk-score API,3.7,June,Medium,1,0,1.2,0.6,3.7,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Malawi,MWI,FL,Flood,INFORM risk-score API,3.2,April,Low,1,0,3.2,0.5,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Ethiopia,ETH,FL,Flood,INFORM risk-score API,3.1,April,Low,2,0,3.1,2.1,1.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Togo,TGO,FL,Flood,INFORM risk-score API,2.9,June,Low,1,0,0.0,0.0,2.9,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Zambia,ZMB,FL,Flood,INFORM risk-score API,2.8,May,Low,1,0,0.0,2.8,0.9,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Burkina Faso,BFA,FL,Flood,INFORM risk-score API,2.3,June,Low,1,0,0.0,0.0,2.3,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Benin,BEN,FL,Flood,INFORM risk-score API,2.0,June,Very Low,3,0,0.0,0.0,2.0,Sub-Saharan Africa,Western Africa,Western Africa
