Region Code,Region,Group,Country,ISO3,Hazard,Hazard Label,Source,Peak Score,Peak Month,Risk Category,Months in Risk Category,High or Very High Months,October,November,December,UN Subregion,UN Intermediate Region,UN Regional Group
0,Africa,Drought/Wildfire,Burundi,BDI,DR,Drought,INFORM risk-score API,4.9,October,Medium,3,0,4.9,4.2,3.8,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,"Tanzania, United Republic of",TZA,DR,Drought,INFORM risk-score API,4.9,December,Medium,3,0,4.2,4.8,4.9,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Burkina Faso,BFA,DR,Drought,INFORM risk-score API,4.4,October,Medium,3,0,4.4,4.1,3.8,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Madagascar,MDG,DR,Drought,INFORM risk-score API,4.4,December,Medium,3,0,3.9,4.2,4.4,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Uganda,UGA,DR,Drought,INFORM risk-score API,4.3,October,Medium,3,0,4.3,4.1,4.1,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Angola,AGO,DR,Drought,INFORM risk-score API,4.2,November,Medium,3,0,3.9,4.2,4.2,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Chad,TCD,DR,Drought,INFORM risk-score API,4.2,October,Medium,3,0,4.2,3.9,3.6,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Djibouti,DJI,DR,Drought,INFORM risk-score API,4.1,October,Medium,3,0,4.1,4.1,4.1,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,"Eswatini, Kingdom of",SWZ,DR,Drought,INFORM risk-score API,3.7,October,Medium,3,0,3.7,3.7,3.7,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Drought/Wildfire,Mali,MLI,DR,Drought,INFORM risk-score API,3.6,October,Medium,2,0,3.6,3.6,3.5,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Zambia,ZMB,DR,Drought,INFORM risk-score API,3.3,December,Low,3,0,2.9,3.2,3.3,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,South Sudan,SSD,DR,Drought,INFORM risk-score API,3.0,October,Low,3,0,3.0,3.0,2.8,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Cameroon,CMR,DR,Drought,INFORM risk-score API,2.6,October,Low,3,0,2.6,2.4,2.1,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,"Gambia, Republic of The",GMB,DR,Drought,INFORM risk-score API,2.4,October,Low,3,0,2.4,2.4,2.4,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Democratic Republic of Congo,COD,DR,Drought,INFORM risk-score API,1.8,October,Very Low,3,0,1.8,1.6,1.5,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Cabo Verde,CPV,DR,Drought,INFORM risk-score API,1.6,October,Very Low,3,0,1.6,1.6,1.6,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Togo,TGO,DR,Drought,INFORM risk-score API,1.6,October,Very Low,3,0,1.6,1.5,1.5,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Gabon,GAB,DR,Drought,INFORM risk-score API,1.5,December,Very Low,3,0,1.1,1.4,1.5,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Guinea-Bissau,GNB,DR,Drought,INFORM risk-score API,1.5,October,Very Low,3,0,1.5,1.5,1.5,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Ghana,GHA,DR,Drought,INFORM risk-score API,0.8,October,Very Low,3,0,0.8,0.5,0.3,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Côte d'Ivoire,CIV,DR,Drought,INFORM risk-score API,0.6,October,Very Low,3,0,0.6,0.3,0.2,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Congo,COG,DR,Drought,INFORM risk-score API,0.5,November,Very Low,3,0,0.3,0.5,0.4,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Liberia,LBR,DR,Drought,INFORM risk-score API,0.5,October,Very Low,3,0,0.5,0.3,0.1,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Benin,BEN,DR,Drought,INFORM risk-score API,0.3,October,Very Low,3,0,0.3,0.1,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Guinea,GIN,DR,Drought,INFORM risk-score API,0.3,October,Very Low,3,0,0.3,0.3,0.3,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Mauritius,MUS,DR,Drought,INFORM risk-score API,0.3,October,Very Low,3,0,0.3,0.3,0.3,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Nigeria,NGA,DR,Drought,INFORM risk-score API,0.3,October,Very Low,3,0,0.3,0.1,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Drought/Wildfire,Central African Republic,CAF,DR,Drought,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Comoros,COM,DR,Drought,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Equatorial Guinea,GNQ,DR,Drought,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Sao Tome and Principe,STP,DR,Drought,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Drought/Wildfire,Seychelles,SYC,DR,Drought,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Drought/Wildfire,Sierra Leone,SLE,DR,Drought,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Congo,COG,FL,Flood,INFORM risk-score API,8.6,November,Very High,1,2,2.9,8.6,5.7,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Somalia,SOM,FL,Flood,INFORM risk-score API,7.5,November,Very High,1,2,5.8,7.5,1.7,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Democratic Republic of Congo,COD,FL,Flood,INFORM risk-score API,7.5,December,Very High,1,1,2.8,3.8,7.5,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,South Sudan,SSD,FL,Flood,INFORM risk-score API,5.7,October,High,1,1,5.7,1.4,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Niger,NER,FL,Flood,INFORM risk-score API,5.6,October,High,1,1,5.6,1.9,0.9,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,"Tanzania, United Republic of",TZA,FL,Flood,INFORM risk-score API,5.0,December,Medium,1,0,0.8,0.8,5.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Nigeria,NGA,FL,Flood,INFORM risk-score API,4.9,October,Medium,1,0,4.9,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,"Eswatini, Kingdom of",SWZ,FL,Flood,INFORM risk-score API,4.2,December,Medium,1,0,0.0,0.0,4.2,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Floods/TC,Uganda,UGA,FL,Flood,INFORM risk-score API,3.8,October,Medium,2,0,3.8,3.8,2.6,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Zimbabwe,ZWE,FL,Flood,INFORM risk-score API,3.6,December,Medium,1,0,0.0,0.0,3.6,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Ghana,GHA,FL,Flood,INFORM risk-score API,3.3,October,Low,1,0,3.3,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Guinea-Bissau,GNB,FL,Flood,INFORM risk-score API,3.3,October,Low,1,0,3.3,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Chad,TCD,FL,Flood,INFORM risk-score API,3.2,October,Low,1,0,3.2,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Malawi,MWI,FL,Flood,INFORM risk-score API,3.2,December,Low,1,0,0.0,1.6,3.2,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Mali,MLI,FL,Flood,INFORM risk-score API,3.1,October,Low,1,0,3.1,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Central African Republic,CAF,FL,Flood,INFORM risk-score API,2.9,October,Low,1,0,2.9,1.4,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Togo,TGO,FL,Flood,INFORM risk-score API,2.9,October,Low,1,0,2.9,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Kenya,KEN,FL,Flood,INFORM risk-score API,2.6,October,Low,3,0,2.6,2.2,2.6,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Burkina Faso,BFA,FL,Flood,INFORM risk-score API,2.3,October,Low,1,0,2.3,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Mozambique,MOZ,FL,Flood,INFORM risk-score API,2.0,December,Very Low,3,0,0.8,0.0,2.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Rwanda,RWA,FL,Flood,INFORM risk-score API,1.9,October,Very Low,3,0,1.9,0.6,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Zambia,ZMB,FL,Flood,INFORM risk-score API,1.8,December,Very Low,3,0,0.0,0.9,1.8,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,South Africa,ZAF,FL,Flood,INFORM risk-score API,1.7,November,Very Low,3,0,0.8,1.7,1.7,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Floods/TC,Ethiopia,ETH,FL,Flood,INFORM risk-score API,1.6,November,Very Low,3,0,1.0,1.6,0.5,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Burundi,BDI,FL,Flood,INFORM risk-score API,1.5,October,Very Low,3,0,1.5,0.7,1.5,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Angola,AGO,FL,Flood,INFORM risk-score API,1.3,December,Very Low,3,0,0.3,0.3,1.3,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,"Gambia, Republic of The",GMB,FL,Flood,INFORM risk-score API,1.2,October,Very Low,3,0,1.2,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Sudan,SDN,FL,Flood,INFORM risk-score API,1.2,October,Very Low,3,0,1.2,0.0,0.0,Northern Africa,,Northern Africa
0,Africa,Floods/TC,Mauritania,MRT,FL,Flood,INFORM risk-score API,1.1,October,Very Low,3,0,1.1,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Benin,BEN,FL,Flood,INFORM risk-score API,1.0,October,Very Low,3,0,1.0,1.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Guinea,GIN,FL,Flood,INFORM risk-score API,0.9,October,Very Low,3,0,0.9,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Senegal,SEN,FL,Flood,INFORM risk-score API,0.6,October,Very Low,3,0,0.6,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Cabo Verde,CPV,FL,Flood,INFORM risk-score API,0.1,October,Very Low,3,0,0.1,0.1,0.1,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Comoros,COM,FL,Flood,INFORM risk-score API,0.1,October,Very Low,3,0,0.1,0.1,0.1,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Mauritius,MUS,FL,Flood,INFORM risk-score API,0.1,October,Very Low,3,0,0.1,0.1,0.1,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Sao Tome and Principe,STP,FL,Flood,INFORM risk-score API,0.1,October,Very Low,3,0,0.1,0.1,0.1,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Seychelles,SYC,FL,Flood,INFORM risk-score API,0.1,October,Very Low,3,0,0.1,0.1,0.1,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Botswana,BWA,FL,Flood,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Floods/TC,Cameroon,CMR,FL,Flood,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Côte d'Ivoire,CIV,FL,Flood,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Djibouti,DJI,FL,Flood,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Equatorial Guinea,GNQ,FL,Flood,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Eritrea,ERI,FL,Flood,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Gabon,GAB,FL,Flood,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Lesotho,LSO,FL,Flood,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Floods/TC,Liberia,LBR,FL,Flood,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Madagascar,MDG,FL,Flood,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Namibia,NAM,FL,Flood,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Floods/TC,Sierra Leone,SLE,FL,Flood,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Madagascar,MDG,TC,Tropical Cyclone,INFORM risk-score API,5.1,December,High,1,1,0.2,1.1,5.1,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Mauritius,MUS,TC,Tropical Cyclone,INFORM risk-score API,4.5,December,Medium,1,0,0.2,0.9,4.5,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Mozambique,MOZ,TC,Tropical Cyclone,INFORM risk-score API,3.5,December,Low,1,0,0.1,0.7,3.5,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Comoros,COM,TC,Tropical Cyclone,INFORM risk-score API,2.0,December,Very Low,3,0,0.1,0.4,2.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Somalia,SOM,TC,Tropical Cyclone,INFORM risk-score API,0.7,December,Very Low,3,0,0.0,0.2,0.7,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,"Tanzania, United Republic of",TZA,TC,Tropical Cyclone,INFORM risk-score API,0.6,December,Very Low,3,0,0.0,0.2,0.6,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Malawi,MWI,TC,Tropical Cyclone,INFORM risk-score API,0.5,December,Very Low,3,0,0.1,0.1,0.5,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,South Africa,ZAF,TC,Tropical Cyclone,INFORM risk-score API,0.3,December,Very Low,3,0,0.0,0.1,0.3,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Floods/TC,Zimbabwe,ZWE,TC,Tropical Cyclone,INFORM risk-score API,0.3,December,Very Low,3,0,0.0,0.1,0.3,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,"Eswatini, Kingdom of",SWZ,TC,Tropical Cyclone,INFORM risk-score API,0.1,December,Very Low,3,0,0.0,0.0,0.1,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Floods/TC,Angola,AGO,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Benin,BEN,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Botswana,BWA,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Floods/TC,Burkina Faso,BFA,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Burundi,BDI,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Cabo Verde,CPV,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Cameroon,CMR,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Central African Republic,CAF,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Chad,TCD,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Congo,COG,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Côte d'Ivoire,CIV,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Democratic Republic of Congo,COD,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Djibouti,DJI,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Equatorial Guinea,GNQ,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Eritrea,ERI,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Ethiopia,ETH,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Gabon,GAB,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,"Gambia, Republic of The",GMB,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Ghana,GHA,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Guinea,GIN,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Guinea-Bissau,GNB,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Kenya,KEN,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Lesotho,LSO,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Floods/TC,Liberia,LBR,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Mali,MLI,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Mauritania,MRT,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Namibia,NAM,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Southern Africa,Southern Africa
0,Africa,Floods/TC,Niger,NER,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Nigeria,NGA,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Rwanda,RWA,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Sao Tome and Principe,STP,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Middle Africa,Middle Africa
0,Africa,Floods/TC,Senegal,SEN,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,Seychelles,SYC,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Sierra Leone,SLE,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Western Africa,Western Africa
0,Africa,Floods/TC,South Sudan,SSD,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Sub-Saharan Africa,Eastern Africa,Eastern Africa
0,Africa,Floods/TC,Sudan,SDN,TC,Tropical Cyclone,INFORM risk-score API,0.0,October,Very Low,3,0,0.0,0.0,0.0,Northern Africa,,Northern Africa
